step,loss,lr,tokens_per_sec,elapsed_sec,token_accuracy
100100,0.059719,3.00e-05,11754,12.6,0.9896
100200,0.048287,3.00e-05,13057,22.5,0.9917
100300,0.052189,3.00e-05,13411,32.4,0.9906
100400,0.045065,3.00e-05,13626,42.3,0.9922
100500,0.051495,3.00e-05,13983,52.2,0.9916
100600,0.043995,3.00e-05,14332,62.3,0.9925
100700,0.052865,3.00e-05,14544,72.4,0.9914
100800,0.046914,3.00e-05,14514,82.5,0.9918
100900,0.054266,3.00e-05,14476,92.6,0.9905
101000,0.056220,3.00e-05,14517,102.7,0.9904
101100,0.050932,3.00e-05,14636,112.9,0.9917
101200,0.041085,3.00e-05,14748,123.0,0.9931
101300,0.056293,3.00e-05,14799,133.4,0.9898
101400,0.050582,3.00e-05,14797,143.7,0.9915
101500,0.066998,3.00e-05,14803,154.1,0.9889
101600,0.060957,3.00e-05,14784,164.3,0.9898
101700,0.046880,3.00e-05,14742,174.5,0.9915
101800,0.045321,3.00e-05,14632,184.6,0.9920
101900,0.058699,3.00e-05,14576,194.7,0.9892
102000,0.071734,3.00e-05,14555,204.9,0.9875
102100,0.067270,3.00e-05,14493,216.0,0.9890
102200,0.055801,3.00e-05,14468,226.1,0.9903
102300,0.063750,3.00e-05,14498,236.2,0.9889
102400,0.060557,3.00e-05,14522,246.3,0.9899
102500,0.046391,3.00e-05,14547,256.4,0.9923
102600,0.053359,3.00e-05,14550,266.4,0.9907
102700,0.053495,3.00e-05,14536,276.5,0.9904
102800,0.057778,3.00e-05,14543,286.5,0.9898
102900,0.057567,3.00e-05,14564,296.5,0.9902
103000,0.067123,3.00e-05,14571,306.6,0.9884
103100,0.053692,3.00e-05,14616,316.6,0.9914
103200,0.070698,3.00e-05,14672,326.6,0.9886
103300,0.059434,3.00e-05,14707,336.7,0.9895
103400,0.040369,3.00e-05,14686,346.7,0.9933
103500,0.044087,3.00e-05,14673,356.7,0.9924
103600,0.056208,3.00e-05,14690,366.7,0.9913
103700,0.055619,3.00e-05,14713,376.8,0.9907
103800,0.048852,3.00e-05,14709,386.8,0.9910
103900,0.054548,3.00e-05,14711,396.8,0.9906
104000,0.064539,3.00e-05,14739,406.9,0.9893
104100,0.058522,3.00e-05,14746,416.9,0.9897
104200,0.056697,3.00e-05,14752,427.0,0.9904
104300,0.051746,3.00e-05,14779,437.0,0.9907
104400,0.047017,3.00e-05,14798,447.1,0.9920
104500,0.057176,3.00e-05,14798,457.1,0.9903
104600,0.062480,3.00e-05,14794,467.1,0.9897
104700,0.069408,3.00e-05,14787,477.2,0.9882
104800,0.058754,3.00e-05,14781,487.2,0.9899
104900,0.050337,3.00e-05,14785,497.2,0.9913
105000,0.059758,3.00e-05,14775,507.3,0.9897
105100,0.062014,3.00e-05,14779,517.3,0.9902
105200,0.070094,3.00e-05,14806,527.3,0.9889
105300,0.054963,3.00e-05,14826,537.4,0.9909
105400,0.063275,3.00e-05,14847,547.4,0.9893
105500,0.056636,3.00e-05,14871,557.4,0.9904
105600,0.050098,3.00e-05,14887,567.5,0.9919
105700,0.057382,3.00e-05,14905,577.5,0.9905
105800,0.056479,3.00e-05,14916,587.5,0.9908
105900,0.053100,3.00e-05,14918,597.6,0.9910
106000,0.061562,3.00e-05,14921,607.8,0.9891
106100,0.062511,3.00e-05,14925,618.1,0.9897
106200,0.065086,3.00e-05,14942,628.2,0.9887
106300,0.057891,3.00e-05,14957,638.3,0.9900
106400,0.067772,3.00e-05,14975,648.3,0.9880
106500,0.060339,3.00e-05,14984,658.4,0.9888
106600,0.058821,3.00e-05,14990,668.4,0.9894
106700,0.066095,3.00e-05,15003,678.4,0.9887
106800,0.067365,3.00e-05,15022,688.5,0.9892
106900,0.063942,3.00e-05,15038,698.5,0.9889
107000,0.055534,3.00e-05,15049,708.6,0.9910
107100,0.046235,3.00e-05,15048,718.6,0.9919
107200,0.052039,3.00e-05,15053,728.7,0.9911
107300,0.054220,3.00e-05,15077,738.7,0.9911
107400,0.042788,3.00e-05,15109,748.8,0.9929
107500,0.045366,3.00e-05,15111,758.8,0.9926
107600,0.044214,3.00e-05,15106,768.9,0.9926
107700,0.053097,3.00e-05,15108,778.9,0.9910
107800,0.050473,3.00e-05,15110,789.0,0.9917
107900,0.054232,3.00e-05,15114,799.0,0.9909
108000,0.055361,3.00e-05,15118,809.1,0.9905
108100,0.057618,3.00e-05,15126,819.1,0.9912
108200,0.055987,3.00e-05,15135,829.2,0.9914
108300,0.057201,3.00e-05,15142,839.2,0.9910
108400,0.051739,3.00e-05,15148,849.3,0.9916
108500,0.066208,3.00e-05,15151,859.3,0.9889
108600,0.051434,3.00e-05,15151,869.4,0.9914
108700,0.053470,3.00e-05,15150,879.4,0.9901
108800,0.052910,3.00e-05,15161,889.5,0.9911
108900,0.068908,3.00e-05,15179,899.5,0.9884
109000,0.046197,3.00e-05,15207,909.6,0.9920
109100,0.060654,3.00e-05,15237,919.6,0.9906
109200,0.073387,3.00e-05,15265,929.7,0.9882
109300,0.054956,3.00e-05,15279,939.7,0.9902
109400,0.057778,3.00e-05,15294,949.8,0.9899
109500,0.072797,3.00e-05,15310,959.8,0.9866
109600,0.061354,3.00e-05,15332,969.8,0.9897
109700,0.052139,3.00e-05,15348,979.9,0.9902
109800,0.062894,3.00e-05,15358,989.9,0.9894
109900,0.067875,3.00e-05,15374,1000.0,0.9879
