step,loss,lr,tokens_per_sec,elapsed_sec
100,10.176684,1.00e-06,18770,21.4
200,9.964950,2.00e-06,20022,40.3
300,9.674004,3.00e-06,20406,59.2
400,9.469696,4.00e-06,20425,78.0
500,9.268703,5.00e-06,20546,96.6
600,9.064030,6.00e-06,20605,115.1
700,8.859900,7.00e-06,20900,133.6
800,8.634324,8.00e-06,21177,152.1
900,8.393933,9.00e-06,21417,170.5
1000,8.184678,1.00e-05,21666,189.0
1100,7.991113,1.10e-05,21914,207.4
1200,7.783873,1.20e-05,22124,225.9
1300,7.609542,1.30e-05,22196,244.3
1400,7.531500,1.40e-05,22137,262.8
1500,7.455137,1.50e-05,22086,281.2
1600,7.406512,1.60e-05,22075,299.7
1700,7.400205,1.70e-05,22113,318.1
1800,7.307129,1.80e-05,22146,336.5
1900,7.275047,1.90e-05,22196,355.0
2000,7.249773,2.00e-05,22316,373.4
2100,7.183169,2.10e-05,22419,391.8
2200,7.144252,2.20e-05,22500,410.3
2300,7.140666,2.30e-05,22537,428.7
2400,7.100832,2.40e-05,22569,447.2
2500,7.030858,2.50e-05,22594,465.6
2600,6.997472,2.60e-05,22631,484.1
2700,6.876419,2.70e-05,22641,502.5
2800,6.842722,2.80e-05,22657,520.9
2900,6.732866,2.90e-05,22624,539.4
3000,6.652741,3.00e-05,22585,557.9
3100,6.586497,3.10e-05,22546,576.3
3200,6.647035,3.20e-05,22495,594.8
3300,6.572617,3.30e-05,22439,613.2
3400,6.490189,3.40e-05,22388,631.7
3500,6.523575,3.50e-05,22347,650.1
3600,6.463000,3.60e-05,22317,668.6
3700,6.364402,3.70e-05,22285,687.0
3800,6.377122,3.80e-05,22285,705.5
3900,6.339281,3.90e-05,22331,723.9
4000,6.236903,4.00e-05,22358,742.4
4100,6.181405,4.10e-05,22369,760.8
4200,6.068568,4.20e-05,22356,779.3
4300,5.986442,4.30e-05,22346,797.7
4400,5.933120,4.40e-05,22340,816.2
4500,5.913711,4.50e-05,22354,834.6
4600,5.871814,4.60e-05,22369,853.1
4700,5.766643,4.70e-05,22376,871.6
4800,5.789124,4.80e-05,22383,890.0
4900,5.736121,4.90e-05,22389,908.5
5000,5.685030,5.00e-05,22394,926.9
5100,5.900421,5.10e-05,22226,952.6
5200,5.832623,5.20e-05,22228,971.0
5300,5.779908,5.30e-05,22232,989.5
5400,5.705276,5.40e-05,22263,1007.9
5500,5.595130,5.50e-05,22306,1026.4
5600,5.546232,5.60e-05,22337,1044.9
5700,5.613608,5.70e-05,22372,1063.3
5800,5.565321,5.80e-05,22404,1081.8
5900,5.508368,5.90e-05,22432,1100.2
6000,5.471551,6.00e-05,22471,1118.7
6100,5.397561,6.10e-05,22514,1137.1
6200,5.353465,6.20e-05,22554,1155.6
6300,5.488342,6.30e-05,22559,1174.0
6400,5.531462,6.40e-05,22534,1192.5
6500,5.504561,6.50e-05,22513,1211.0
6600,5.381328,6.60e-05,22502,1229.4
6700,5.330852,6.70e-05,22508,1247.9
6800,5.267586,6.80e-05,22518,1266.3
6900,5.264966,6.90e-05,22525,1284.8
7000,5.276664,7.00e-05,22537,1303.2
7100,5.221634,7.10e-05,22547,1321.7
7200,5.161931,7.20e-05,22557,1340.1
7300,5.201974,7.30e-05,22576,1358.6
7400,5.185378,7.40e-05,22595,1377.1
7500,5.109060,7.50e-05,22615,1395.5
7600,5.182176,7.60e-05,22616,1414.0
7700,5.065110,7.70e-05,22618,1432.4
7800,5.036382,7.80e-05,22621,1450.9
7900,5.005049,7.90e-05,22620,1469.3
8000,4.941710,8.00e-05,22614,1487.8
8100,4.926075,8.10e-05,22611,1506.2
8200,5.021621,8.20e-05,22601,1524.6
8300,5.004915,8.30e-05,22592,1543.1
8400,4.942034,8.40e-05,22582,1561.5
